# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:29:19.104Z|353.68092  | +8.44639  |   CMC14|16.2 |   C
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T21:29:34.656Z|352.75992  | +7.80731  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:30:11.808Z|353.68725  | +8.449    |   CMC14|15.9 |   C
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T21:31:52.032Z|352.77204  | +7.80833  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T21:33:08.928Z|352.77879  | +7.809    |   NOMAD|16.6 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:33:22.752Z|353.71013  | +8.45842  |   CMC14|16   |   C
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:33:48.672Z|353.71333  | +8.45978  |   CMC14|16.2 |   C
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T21:34:03.360Z|352.78367  | +7.80947  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:34:46.560Z|353.72021  | +8.46261  |   CMC14|16.1 |   C
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T21:35:06.432Z|352.78921  | +7.81     |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:35:08.765Z|352.24142  | +7.34292  |     UNK|16.6 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:36:43.891Z|352.25208  | +7.34106  |     UNK|16.4 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:37:25.190Z|352.25533  | +7.34028  |     UNK|16   |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:38:06.662Z|352.25946  | +7.33967  |     UNK|17.2 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:38:48.048Z|352.26479  | +7.33842  |     UNK|17.2 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T21:39:56.736Z|353.259    | +8.11603  |  USNOB1|16   |   V
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:41:47.328Z|353.77179  | +8.48422  |   CMC14|16   |   C
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:42:48.672Z|353.77942  | +8.48744  |   CMC14|16.1 |   C
