# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1       |pos2       |pos3       |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
     2P|        | UNK|474 |       |    |           |           |           |    |1987-08-19T08:30:31.392Z|191.91596  |-16.19483  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|474 |       |    |           |           |           |    |1987-08-19T08:49:30.144Z|191.93992  |-16.20581  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-05-17T14:21:51.264Z|344.55342  | -8.55039  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-05-18T13:54:40.896Z|344.65375  | -8.50319  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-09T07:40:59.232Z|329.73487  |-13.037    |      |      |       |     UNK|20    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-09T07:47:00.384Z|329.73404  |-13.03714  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-09T07:56:15.936Z|329.73229  |-13.03767  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-09T08:08:53.664Z|329.73037  |-13.03808  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-09T08:20:55.968Z|329.72846  |-13.03872  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-09T08:32:43.584Z|329.72679  |-13.03908  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-11T07:40:04.800Z|329.256    |-13.17289  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-11T07:54:34.848Z|329.25379  |-13.17369  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-12T08:30:59.040Z|329.01354  |-13.24094  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-12T08:41:10.752Z|329.01179  |-13.24136  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1988-09-12T09:26:21.120Z|329.00412  |-13.24311  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1989-06-01T14:27:49.824Z|357.95842  | +1.30772  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1989-06-01T14:44:00.960Z|357.95929  | +1.30833  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1989-06-02T13:03:12.096Z|358.053    | +1.36644  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1989-06-02T13:48:30.240Z|358.05613  | +1.36806  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1989-06-02T14:12:03.744Z|358.05771  | +1.36922  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|568 |       |    |           |           |           |    |1989-08-01T12:12:22.176Z|357.79721  | +2.67256  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
